makam,usul,count,shapeh_mean,shapeh_max,shapeh_median,time_mean,time_max,avg_rank,best_rank,top_k_count
Yegâh Nakış,Yürüksemâî(6/4),42,58.2034094989272,78.39618261671029,62.48433095005069,,,574.2619047619048,125,0
Kürdî Peşrev,Devr-i Kebîr,42,59.209348490747054,89.6083189809294,58.59196685627497,,,576.8095238095239,13,0
Nevâ Peşrev,Nîmberefşan (16/8),42,60.952404678025474,98.41039826318098,60.482053796940825,,,577.6190476190476,59,0
Nev`eser Sazsemâîsi,Aksaksemâî,168,64.42590311606743,153.3601441935805,58.42873906831166,,,582.1011904761905,20,0
Muhayyerkürdî Türkü,Düyek,42,61.480361559829305,101.97991375736672,58.632402172163225,,,582.3571428571429,18,0
Hüseynî Beste,Ağırçenber,42,64.34559165652344,147.1213301651206,58.04178543904101,,,583.3333333333334,48,0
Hicaz-Hümâyûn Şarkı,Ağıraksak,126,64.53009853813619,149.25885468529444,62.92211595032847,0.0,0.0,587.2063492063492,2,11
Segâh Kâr,Hafîf (32/2),42,64.56412092026598,156.33169153229568,58.30017571900905,,,589.6666666666666,13,0
Nev`eser Peşrev,Berefşan,42,63.83319662681364,143.36838738811903,58.177755056106065,,,590.4761904761905,76,0
Mâhur Yürüksemâî,Yürüksemâî(6/4),84,63.11011685566791,122.17500316963763,60.118236029020956,,,592.1309523809524,12,0
Ferahfezâ Sazsemâîsi,Aksaksemâî,84,64.36468634019496,128.72835564900643,60.159032113770664,0.0,0.0,592.6309523809524,8,1
Rast Peşrev,Çiftedüyek,84,63.4557363079966,147.0308480525607,58.96978017673035,,,593.3095238095239,27,0
Segâh Sazsemâîsi,Aksaksemâî,126,59.11068906372031,95.75320631990115,56.850954025297185,0.0,0.0,595.063492063492,3,8
Nevâ Murabbâ,Zencîr,42,63.36575613103552,138.61389825534621,58.413962858970265,,,597.0714285714286,115,0
Nev`eser Şarkı,Düyek,42,60.15607259823378,88.24654082137063,60.706193827967645,,,598.9047619047619,53,0
Rast Şarkı,Çeng-i Harbî,42,57.9137180218503,75.20527071554022,62.301453545933995,,,599.1190476190476,36,0
Hicazkâr Ağırsemâî,Aksaksemâî,42,65.36274709521112,139.73618857135548,59.07551608110274,,,601.452380952381,34,0
Muhayyer Dîvân,Nîmsofyan,42,62.974664182918936,135.90614168921041,55.69060419702743,,,601.5238095238095,23,0
Isfahân Şarkı,Curcuna,84,58.09309270509854,80.41587425727194,60.28103573784166,,,601.5714285714286,91,0
Hicaz Şarkı,Senginsemâî,84,60.39940536140544,105.29862829482042,58.64391401093766,,,605.0952380952381,164,0
Uşşak Kalenderî,Yürüksemâî,42,60.89481646729997,95.76078353440947,59.150981234320895,,,606.5952380952381,120,0
Sultânîyegâh Sazsemâîsi,Aksaksemâî,42,58.64069498874356,83.53380899265352,58.09208651899708,,,606.9047619047619,73,0
Nühüft Beste,Devr-i Kebîr,42,60.082212428059,88.97460016268425,60.357919036771975,,,607.952380952381,34,0
Hüseynî Nakış,Yürüksemâî(6/4),84,57.323872228025515,70.48565828030415,63.2059737340324,,,608.2857142857143,22,0
Acemkürdî Peşrev,Fahte,42,64.48925723503267,128.9484061352788,57.65898937708422,,,611.4047619047619,12,0
Nevâ Şarkı,Yürüksemâî(6/4),42,58.06723912118984,78.8447532882318,61.050131913905446,,,617.547619047619,144,0
Hicaz-Zirgüle Türkü,Sofyan,42,56.088555756417904,67.56403807553843,60.37217670765106,,,619.452380952381,11,0
Nev`eser Peşrev,Devr-i Kebîr,42,65.21211197717342,153.9959962847577,57.48845610871065,,,621.2380952380952,18,0
Sultânîyegâh Şarkı,Sofyan,42,61.92128392470388,98.23796000700885,60.76197481954425,,,621.7142857142857,45,0
Nevâ Yürüksemâî,Yürüksemâî(6/4),42,62.55991003384807,119.11247939735574,57.49328001219408,,,622.3809523809524,123,0
Hicaz-Uzzâl Şarkı,Ağıraksak,42,64.08683270479874,122.87562484596995,59.51905237096004,,,622.6904761904761,85,0
Beyâtî İlâhî,Durak Evferi,42,59.595265823207214,89.62878985374074,58.34558309222711,,,628.1190476190476,216,0
Muhayyer Beste,Muhammes,42,58.47444971937254,81.34027946943829,57.45824661347366,,,629.2142857142857,139,0
