raga,makam,usul,metric,agg,value
Bhairav,Acemkürdî Şarkı,Yürüksemâî II,shapeh_score,max,21.94198209902661
Bhairav,Acemkürdî Şarkı,Yürüksemâî II,shapeh_score,top_5_mean,21.298768328696404
Bhairav,Acemkürdî Sazsemâîsi,Aksaksemâî,shapeh_score,mean,23.961777664355964
Bhairav,Acemkürdî Sazsemâîsi,Aksaksemâî,shapeh_score,median,22.921462435164884
Bhairav,Acemkürdî Sazsemâîsi,Aksaksemâî,shapeh_score,max,52.36335086962029
Bhairav,Acemkürdî Sazsemâîsi,Aksaksemâî,shapeh_score,top_5_mean,42.98557010027448
Bhairav,Acemkürdî Seyir,Senginsemâî,shapeh_score,mean,10.416570627835164
Bhairav,Acemkürdî Seyir,Senginsemâî,shapeh_score,median,10.66038188078459
Bhairav,Acemkürdî Seyir,Senginsemâî,shapeh_score,max,13.973067340196845
Bhairav,Acemkürdî Seyir,Senginsemâî,shapeh_score,top_5_mean,13.447630179508328
Bhairav,Acemkürdî Seyir,Sofyan,shapeh_score,mean,19.274581480647097
Bhairav,Acemkürdî Seyir,Sofyan,shapeh_score,median,18.795297682389492
Bhairav,Acemkürdî Seyir,Sofyan,shapeh_score,max,27.386473553826157
Bhairav,Acemkürdî Seyir,Sofyan,shapeh_score,top_5_mean,26.48410052808299
Bhairav,Acemkürdî Türkü,Düyek,shapeh_score,mean,18.159668152682304
Bhairav,Acemkürdî Türkü,Düyek,shapeh_score,median,16.03844984066339
Bhairav,Acemkürdî Türkü,Düyek,shapeh_score,max,48.73558313496381
Bhairav,Acemkürdî Türkü,Düyek,shapeh_score,top_5_mean,40.62074025639159
